ONS Neighbourhood,"Cumulative Rate (per 100,000 population) Excluding Cases Linked to Outbreaks in LTCH & RH",Cumulative Number of Cases Excluding Those Linked to Outbreaks in LTCH & RH,"Rate (per 100,000 population) in September 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in September 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in August 2020 Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in August 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH","Rate (per 100,000 population) in July 2020, Excluding Cases Linked to Outbreaks in LTCH & RH","Number of Cases in July 2020, Exlcuding Those Linked to Outbreaks in LTCH & RH",Total Population
Merivale Gardens - Grenfell Glen - Pineglen - Country Place,202,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,2970
Metcalfe,124,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,5225
Munster - Ashton,157,6,Suppressed,<5,Suppressed,<5,Suppressed,<5,3605
Navan - Sarsfield,208,9,123,5,Suppressed,<5,Suppressed,<5,4145
North Gower - Kars,124,7,Suppressed,<5,Suppressed,<5,Suppressed,<5,5250
Notre-Dame Cemetery,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,
Old Barrhaven East,304,77,91,23,47,12,36,9,25285
Old Barrhaven West,289,52,89,16,89,16,Suppressed,<5,17975
Old Ottawa East,258,19,136,10,Suppressed,<5,Suppressed,<5,7350
Old Ottawa South,193,12,113,7,Suppressed,<5,Suppressed,<5,6210
Orléans Industrial,Suppressed,<5,Suppressed,<5,Suppressed,<5,Suppressed,<5,170
Orléans Village - Chateauneuf,341,35,125,13,92,10,Suppressed,<5,10370
Osgoode - Vernon,96,5,Suppressed,<5,Suppressed,<5,Suppressed,<5,5360
Overbrook - McArthur,668,128,287,55,94,18,83,16,19150
Parkwood Hills - Stewart Farm,510,27,185,10,Suppressed,<5,168,9,5335
Pineview,439,27,146,9,162,10,Suppressed,<5,6135
Playfair Park - Lynda Park - Guildwood Estates,303,18,127,8,Suppressed,<5,Suppressed,<5,5955
Portobello South,293,67,109,25,55,13,Suppressed,<5,23035
Qualicum - Redwood Park,305,13,Suppressed,<5,Suppressed,<5,140,6,4280
